GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:34   End: 01-Sep-16   12:23:39 
  
Foreground:  93195 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.96543 +/- 0.010298  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 206 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0399175	0.454685	0.0263803	0.00471288
0.046165	0.54033	0.0170784	0.00480637
0.0519488	0.686058	0.0151455	0.00490143
0.0578602	0.956229	0.0150577	0.0050082
0.0638884	1.28432	0.0164806	0.00512676
0.0697909	1.83596	0.0187358	0.00525444
0.0757659	2.59976	0.0208935	0.00539176
0.0818342	3.32344	0.0226376	0.00553808
0.0878233	3.70728	0.0233043	0.00568917
0.0937677	3.52462	0.0219777	0.00584476
0.0997002	3.01737	0.0197748	0.00603395
0.105754	2.3606	0.0166997	0.00623008
0.111778	1.83617	0.0147322	0.00639899
0.117726	1.44657	0.0127324	0.00662485
0.123767	1.17843	0.0112351	0.00668465
0.129799	0.971195	0.0101489	0.00680744
0.135802	0.808751	0.00912863	0.00712228
0.141812	0.695295	0.00841192	0.0074375
0.147792	0.611707	0.00782318	0.00755311
0.153773	0.514606	0.00713969	0.00764719
0.159701	0.455647	0.00678823	0.00780719
0.165696	0.390866	0.00655396	0.00810027
0.171676	0.337981	0.00617689	0.0083926
0.177681	0.283662	0.0058224	0.00868613
0.183679	0.239591	0.00549489	0.00866097
0.189674	0.211676	0.00527928	0.00894363
0.195633	0.177007	0.00501071	0.00899143
0.201602	0.161051	0.00482808	0.00926576
0.207609	0.143571	0.00465575	0.00954182
0.213531	0.125864	0.00453518	0.00981403
0.219493	0.116092	0.00433525	0.010088
0.225519	0.109724	0.00427441	0.010365
0.231466	0.108851	0.00425662	0.0106383
0.237469	0.101727	0.00410579	0.0107699
0.243524	0.102131	0.00408791	0.0108187
0.249542	0.0997446	0.0040449	0.0110861
