GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:18   End: 01-Sep-16   12:23:23 
  
Foreground:  93192 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95963 +/- 0.010298  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 203 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0399306	0.484524	0.0271684	0.00471442
0.0461801	0.594996	0.0178507	0.00480794
0.0519658	0.730496	0.0156366	0.00490303
0.0578791	1.00187	0.0154585	0.00500984
0.0639094	1.35416	0.0169834	0.00512844
0.0698138	1.91442	0.0192206	0.00525617
0.0757907	2.68891	0.0213667	0.00539353
0.0818611	3.45548	0.0232154	0.00553989
0.0878521	3.85579	0.0239084	0.00569104
0.0937984	3.69584	0.022639	0.00584668
0.0997329	3.12137	0.0202279	0.00603593
0.105788	2.46918	0.0171693	0.00623212
0.111814	1.90968	0.0150973	0.00640109
0.117765	1.50895	0.0130624	0.00662702
0.123807	1.2042	0.011413	0.00668684
0.129841	1.0052	0.0103669	0.00680967
0.135846	0.84513	0.00935813	0.00712461
0.141859	0.745097	0.00870867	0.00743994
0.14784	0.619771	0.0079119	0.00755558
0.153823	0.545628	0.00735026	0.0076497
0.159753	0.469773	0.00690822	0.00780975
0.165751	0.39789	0.00663573	0.00810292
0.171732	0.344666	0.00625624	0.00839535
0.177739	0.289757	0.00589957	0.00868898
0.18374	0.243658	0.0055577	0.00866381
0.189736	0.204502	0.00525853	0.00894656
0.195698	0.177732	0.00504693	0.00899438
0.201668	0.161376	0.00485917	0.0092688
0.207677	0.140901	0.00466235	0.00954494
0.213601	0.116779	0.00448765	0.00981725
0.219565	0.108012	0.00429575	0.0100913
0.225593	0.105651	0.00426709	0.0103684
0.231541	0.108815	0.00428088	0.0106418
0.237547	0.104933	0.00415698	0.0107734
0.243603	0.10269	0.0041176	0.0108222
0.249624	0.0983913	0.00405778	0.0110897
