GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:29   End: 01-Sep-16   12:23:34 
  
Foreground:  93194 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.96022 +/- 0.010227  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 205 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0399175	0.471058	0.0266748	0.00471288
0.046165	0.576589	0.0174928	0.00480637
0.0519488	0.71904	0.0154209	0.00490143
0.0578602	0.927986	0.0148414	0.0050082
0.0638884	1.32896	0.0167105	0.00512676
0.0697909	1.8431	0.0187387	0.00525444
0.0757659	2.58508	0.0208064	0.00539176
0.0818342	3.32141	0.022596	0.00553808
0.0878233	3.68322	0.0231948	0.00568917
0.0937677	3.53375	0.0219737	0.00584476
0.0997002	3.0083	0.0197174	0.00603395
0.105754	2.37782	0.0167331	0.00623008
0.111778	1.84213	0.0147327	0.00639899
0.117726	1.45092	0.012731	0.00662485
0.123767	1.14484	0.0110731	0.00668465
0.129799	0.951807	0.0100444	0.00680744
0.135802	0.819769	0.00916691	0.00712228
0.141812	0.704706	0.00844574	0.0074375
0.147792	0.599611	0.00774907	0.00755311
0.153773	0.521806	0.00716789	0.00764719
0.159701	0.452553	0.00675946	0.00780719
0.165696	0.390936	0.00654406	0.00810027
0.171676	0.328922	0.00610994	0.0083926
0.177681	0.294845	0.00588789	0.00868613
0.183679	0.23574	0.00545964	0.00866097
0.189674	0.208864	0.00525115	0.00894363
0.195633	0.173635	0.00497907	0.00899143
0.201602	0.155039	0.00477409	0.00926576
0.207609	0.140246	0.00462245	0.00954182
0.213531	0.119084	0.00447232	0.00981403
0.219493	0.11173	0.00429336	0.010088
0.225519	0.104093	0.00422193	0.010365
0.231466	0.100481	0.00418214	0.0106383
0.237469	0.0986928	0.00407487	0.0107699
0.243524	0.0942099	0.00401796	0.0108187
0.249542	0.101311	0.00405086	0.0110861
