GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:13   End: 01-Sep-16   12:23:18 
  
Foreground:  93191 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.97203 +/- 0.010336  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 202 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0399306	0.455087	0.0263041	0.00471442
0.0461801	0.594146	0.0176702	0.00480794
0.0519658	0.721063	0.0154168	0.00490303
0.0578791	0.975489	0.0151415	0.00500984
0.0639094	1.32481	0.01666	0.00512844
0.0698138	1.91231	0.0190375	0.00525617
0.0757907	2.70255	0.0212271	0.00539353
0.0818611	3.45201	0.022998	0.00553989
0.0878521	3.84812	0.0236703	0.00569104
0.0937984	3.67201	0.0223657	0.00584668
0.0997329	3.08463	0.0199299	0.00603593
0.105788	2.44287	0.0169271	0.00623212
0.111814	1.8944	0.0149048	0.00640109
0.117765	1.48387	0.0128443	0.00662702
0.123807	1.19565	0.0112736	0.00668684
0.129841	1.0071	0.0102806	0.00680967
0.135846	0.836246	0.00923172	0.00712461
0.141859	0.716454	0.00849073	0.00743994
0.14784	0.628444	0.00788484	0.00755558
0.153823	0.534797	0.00722617	0.0076497
0.159753	0.456498	0.00677101	0.00780975
0.165751	0.378987	0.00646111	0.00810292
0.171732	0.33881	0.00616212	0.00839535
0.177739	0.289236	0.00584175	0.00868898
0.18374	0.238016	0.00546703	0.00866381
0.189736	0.203079	0.00520056	0.00894656
0.195698	0.171069	0.00495042	0.00899438
0.201668	0.153949	0.00475784	0.0092688
0.207677	0.131067	0.00454288	0.00954494
0.213601	0.118889	0.00446381	0.00981725
0.219565	0.110022	0.00427412	0.0100913
0.225593	0.10747	0.00424177	0.0103684
0.231541	0.100865	0.00417778	0.0106418
0.237547	0.093447	0.00402577	0.0107734
0.243603	0.0937223	0.00400622	0.0108222
0.249624	0.0948064	0.00399285	0.0110897
